date,turnover,weights
2010-05-28,1.4,"{'SPY': 0.1360165676037124, 'QQQ': 0.11995885134694355, 'TLT': 0.12206209967897517, 'IEF': 0.014043035856613956, 'TIP': 0.010496981337662154, 'LQD': 0.07192892734602341, 'HYG': 0.12869265448403258, 'DBC': 0.06756418531048661, 'GLD': 0.029236697035550274, 'SHY': 0.3}"
2010-06-30,0.22292408317698492,"{'SPY': 0.15544786608633027, 'QQQ': 0.13294465717773596, 'TLT': 0.14492606270898856, 'IEF': 0.015671897909456806, 'TIP': 0.014657656659497132, 'LQD': 0.08167633897411163, 'HYG': 0.1446328353512632, 'DBC': 0.08254620191208964, 'GLD': 0.03895852480901938, 'SHY': 0.18853795841150756}"
2010-07-30,0.11038265036681855,"{'SPY': 0.16122680419971794, 'QQQ': 0.139469060426664, 'TLT': 0.1529358405078059, 'IEF': 0.025678151422015596, 'TIP': 0.018152731610892724, 'LQD': 0.08741515091561639, 'HYG': 0.1468294218588697, 'DBC': 0.09134024391229265, 'GLD': 0.04360596191802695, 'SHY': 0.13334663322809828}"
2010-08-31,0.06269478296250686,"{'SPY': 0.1622846260282084, 'QQQ': 0.14336747737342095, 'TLT': 0.15405023130101564, 'IEF': 0.037430702563757794, 'TIP': 0.02264666787289924, 'LQD': 0.09124067107592324, 'HYG': 0.14465370385880344, 'DBC': 0.09626277147968873, 'GLD': 0.0438881886993715, 'SHY': 0.10417495974691107}"
2010-09-30,0.04011695555183318,"{'SPY': 0.16114204502265056, 'QQQ': 0.14642019646479143, 'TLT': 0.15429998856048657, 'IEF': 0.04659549491033337, 'TIP': 0.023799132391624775, 'LQD': 0.0949421099879404, 'HYG': 0.14388144929701194, 'DBC': 0.09900007712744568, 'GLD': 0.04213293484599788, 'SHY': 0.0877865713917175}"
2010-10-29,0.036452581609666905,"{'SPY': 0.155570455417511, 'QQQ': 0.14577084880258787, 'TLT': 0.1545937965598542, 'IEF': 0.0536681121448717, 'TIP': 0.023570943688024634, 'LQD': 0.09999852352939409, 'HYG': 0.1465128312412677, 'DBC': 0.1021721472126637, 'GLD': 0.039329774010920054, 'SHY': 0.07881256739290511}"
2010-11-30,0.051874353608192245,"{'SPY': 0.15434608775554992, 'QQQ': 0.1432983586479114, 'TLT': 0.16225886087854507, 'IEF': 0.05894233444032611, 'TIP': 0.013629079524826396, 'LQD': 0.10210773400053963, 'HYG': 0.14664984974035217, 'DBC': 0.11292380843238457, 'GLD': 0.03025091042503208, 'SHY': 0.07559297615453277}"
2010-12-31,0.035260245029463184,"{'SPY': 0.1546796742461083, 'QQQ': 0.14190965684053522, 'TLT': 0.16506511708062852, 'IEF': 0.06419895259750646, 'TIP': 0.009382130547854703, 'LQD': 0.10299161488587197, 'HYG': 0.14706040647505647, 'DBC': 0.11978447570938822, 'GLD': 0.018256438694648363, 'SHY': 0.0766715329224019}"
2011-01-31,0.04960848481738052,"{'SPY': 0.15706405183866035, 'QQQ': 0.13758037512456958, 'TLT': 0.17006364993656992, 'IEF': 0.06634294422521578, 'TIP': 0.001105890413567267, 'LQD': 0.10345153266784465, 'HYG': 0.1476040422779716, 'DBC': 0.13028632989566835, 'GLD': 0.006057718136211186, 'SHY': 0.08044346548372144}"
2011-02-28,0.02566917695820197,"{'SPY': 0.1614517528195228, 'QQQ': 0.13139045709444117, 'TLT': 0.17012789475068532, 'IEF': 0.06807618252288318, 'TIP': 0.0, 'LQD': 0.10524299936911077, 'HYG': 0.14834348823494264, 'DBC': 0.13235137167172537, 'GLD': 0.000518938100805888, 'SHY': 0.08249691543588301}"
2011-03-31,0.012879224290472335,"{'SPY': 0.16485235386095193, 'QQQ': 0.12611190547862416, 'TLT': 0.17000600289068468, 'IEF': 0.06778522891529787, 'TIP': 0.0, 'LQD': 0.10562731203694262, 'HYG': 0.14811421127391527, 'DBC': 0.13447195268138148, 'GLD': 0.0, 'SHY': 0.08303103286220204}"
