date,symbol,coin_id,close,market_cap,volume,source,open,high,low,coinbase_close,coinbase_volume
2021-03-18,ADA,ADA-USD,1.23,,112384864.67,coinbase_daily_candles,1.6551,1.88,1.2155,1.23,112384864.67
2021-03-19,ADA,ADA-USD,1.3076,,166658507.55,coinbase_daily_candles,1.2311,1.396,1.1808,1.3076,166658507.55
2021-03-20,ADA,ADA-USD,1.2013,,121442030.52,coinbase_daily_candles,1.3065,1.345,1.2001,1.2013,121442030.52
2021-03-21,ADA,ADA-USD,1.1885,,55592643.07,coinbase_daily_candles,1.2013,1.2463,1.1607,1.1885,55592643.07
2021-03-22,ADA,ADA-USD,1.1027,,80249983.81,coinbase_daily_candles,1.1885,1.2076,1.07,1.1027,80249983.81
2021-03-23,ADA,ADA-USD,1.1178,,63714627.98,coinbase_daily_candles,1.1027,1.1742,1.082,1.1178,63714627.98
2021-03-24,ADA,ADA-USD,1.0674,,60465685.88,coinbase_daily_candles,1.1175,1.1686,1.04,1.0674,60465685.88
2021-03-25,ADA,ADA-USD,1.0963,,74708052.97,coinbase_daily_candles,1.0691,1.1547,1.0442,1.0963,74708052.97
2021-03-26,ADA,ADA-USD,1.2144,,73745757.07,coinbase_daily_candles,1.0963,1.2869,1.0944,1.2144,73745757.07
2021-03-27,ADA,ADA-USD,1.1768,,47923717.62,coinbase_daily_candles,1.2149,1.2415,1.1575,1.1768,47923717.62
2021-03-28,ADA,ADA-USD,1.1903,,39099166.73,coinbase_daily_candles,1.1775,1.2188,1.1666,1.1903,39099166.73
2021-03-29,ADA,ADA-USD,1.2032,,43471602.2,coinbase_daily_candles,1.1904,1.2294,1.1777,1.2032,43471602.2
2021-03-30,ADA,ADA-USD,1.2135,,45176667.11,coinbase_daily_candles,1.2032,1.2365,1.1888,1.2135,45176667.11
2021-03-31,ADA,ADA-USD,1.1934,,46011378.93,coinbase_daily_candles,1.2135,1.2138,1.1526,1.1934,46011378.93
2021-04-01,ADA,ADA-USD,1.1842,,36842053.16,coinbase_daily_candles,1.1926,1.2079,1.171,1.1842,36842053.16
2021-04-02,ADA,ADA-USD,1.1908,,45706769.96,coinbase_daily_candles,1.1842,1.245,1.18,1.1908,45706769.96
2021-04-03,ADA,ADA-USD,1.1637,,51681666.91,coinbase_daily_candles,1.1908,1.2413,1.1605,1.1637,51681666.91
2021-04-04,ADA,ADA-USD,1.1817,,25801716.36,coinbase_daily_candles,1.1639,1.1941,1.1521,1.1817,25801716.36
2021-04-05,ADA,ADA-USD,1.2123,,43263805.66,coinbase_daily_candles,1.1823,1.2263,1.1608,1.2123,43263805.66
2021-04-06,ADA,ADA-USD,1.2566,,91644956.18,coinbase_daily_candles,1.2124,1.3423,1.1913,1.2566,91644956.18
2021-04-07,ADA,ADA-USD,1.1745,,60930156.15,coinbase_daily_candles,1.2578,1.2909,1.1601,1.1745,60930156.15
2021-04-08,ADA,ADA-USD,1.2195,,34901097.69,coinbase_daily_candles,1.1745,1.2289,1.1703,1.2195,34901097.69
2021-04-09,ADA,ADA-USD,1.2027,,36252890.19,coinbase_daily_candles,1.219,1.2299,1.1922,1.2027,36252890.19
2021-04-10,ADA,ADA-USD,1.2176,,43156667.15,coinbase_daily_candles,1.2027,1.2516,1.195,1.2176,43156667.15
2021-04-11,ADA,ADA-USD,1.2647,,60569061.79,coinbase_daily_candles,1.2182,1.29,1.1986,1.2647,60569061.79
2021-04-12,ADA,ADA-USD,1.3153,,81402849.96,coinbase_daily_candles,1.2638,1.3476,1.2635,1.3153,81402849.96
2021-04-13,ADA,ADA-USD,1.414,,104171409.13,coinbase_daily_candles,1.3153,1.4368,1.2828,1.414,104171409.13
2021-04-14,ADA,ADA-USD,1.4512,,178796472.0,coinbase_daily_candles,1.414,1.5591,1.3495,1.4512,178796472.0
2021-04-15,ADA,ADA-USD,1.4803,,86951329.97,coinbase_daily_candles,1.4528,1.4975,1.4111,1.4803,86951329.97
2021-04-16,ADA,ADA-USD,1.413,,123840398.92,coinbase_daily_candles,1.4806,1.5222,1.34,1.413,123840398.92
2021-04-17,ADA,ADA-USD,1.3772,,68299999.39,coinbase_daily_candles,1.413,1.4599,1.36,1.3772,68299999.39
2021-04-18,ADA,ADA-USD,1.2804,,162318050.41,coinbase_daily_candles,1.3773,1.3924,1.13,1.2804,162318050.41
2021-04-19,ADA,ADA-USD,1.1963,,89753007.84,coinbase_daily_candles,1.2804,1.3277,1.17,1.1963,89753007.84
2021-04-20,ADA,ADA-USD,1.2689,,102388446.16,coinbase_daily_candles,1.1968,1.2839,1.1239,1.2689,102388446.16
2021-04-21,ADA,ADA-USD,1.2042,,74010406.0,coinbase_daily_candles,1.2685,1.289,1.1964,1.2042,74010406.0
2021-04-22,ADA,ADA-USD,1.1456,,102691576.41,coinbase_daily_candles,1.2048,1.28,1.12,1.1456,102691576.41
2021-04-23,ADA,ADA-USD,1.1599,,192087824.74,coinbase_daily_candles,1.1456,1.1691,0.991,1.1599,192087824.74
2021-04-24,ADA,ADA-USD,1.1047,,64659652.49,coinbase_daily_candles,1.16,1.1985,1.0944,1.1047,64659652.49
2021-04-25,ADA,ADA-USD,1.0927,,51403665.39,coinbase_daily_candles,1.1047,1.1481,1.02,1.0927,51403665.39
2021-04-26,ADA,ADA-USD,1.239,,74614548.83,coinbase_daily_candles,1.0923,1.2543,1.0808,1.239,74614548.83
2021-04-27,ADA,ADA-USD,1.3081,,67635192.94,coinbase_daily_candles,1.2385,1.3356,1.2238,1.3081,67635192.94
2021-04-28,ADA,ADA-USD,1.3383,,71378107.51,coinbase_daily_candles,1.3081,1.35,1.235,1.3383,71378107.51
2021-04-29,ADA,ADA-USD,1.3076,,93378698.17,coinbase_daily_candles,1.339,1.4124,1.2685,1.3076,93378698.17
2021-04-30,ADA,ADA-USD,1.3556,,55481493.84,coinbase_daily_candles,1.3066,1.372,1.2886,1.3556,55481493.84
2021-05-01,ADA,ADA-USD,1.3537,,43727490.01,coinbase_daily_candles,1.3556,1.37,1.31,1.3537,43727490.01
2021-05-02,ADA,ADA-USD,1.3284,,31217982.88,coinbase_daily_candles,1.3537,1.3575,1.296,1.3284,31217982.88
2021-05-03,ADA,ADA-USD,1.3634,,55647160.05,coinbase_daily_candles,1.3284,1.3816,1.3223,1.3634,55647160.05
2021-05-04,ADA,ADA-USD,1.2719,,85945540.16,coinbase_daily_candles,1.3643,1.3681,1.258,1.2719,85945540.16
2021-05-05,ADA,ADA-USD,1.4827,,144130956.71,coinbase_daily_candles,1.2716,1.5,1.2609,1.4827,144130956.71
2021-05-06,ADA,ADA-USD,1.6503,,239388664.66,coinbase_daily_candles,1.4827,1.705,1.4302,1.6503,239388664.66
2021-05-07,ADA,ADA-USD,1.6551,,145970329.27,coinbase_daily_candles,1.6509,1.7499,1.53,1.6551,145970329.27
2021-05-08,ADA,ADA-USD,1.625,,85189669.22,coinbase_daily_candles,1.6559,1.6569,1.5652,1.625,85189669.22
2021-05-09,ADA,ADA-USD,1.7704,,164921968.75,coinbase_daily_candles,1.6252,1.8356,1.5765,1.7704,164921968.75
2021-05-10,ADA,ADA-USD,1.6449,,171497781.28,coinbase_daily_candles,1.7698,1.8274,1.5351,1.6449,171497781.28
2021-05-11,ADA,ADA-USD,1.7661,,142830249.17,coinbase_daily_candles,1.6447,1.78,1.598,1.7661,142830249.17
2021-05-12,ADA,ADA-USD,1.5667,,161765363.86,coinbase_daily_candles,1.7669,1.8229,1.54,1.5667,161765363.86
2021-05-13,ADA,ADA-USD,1.9556,,399388845.56,coinbase_daily_candles,1.57,2.1,1.5,1.9556,399388845.56
2021-05-14,ADA,ADA-USD,2.011,,195028170.93,coinbase_daily_candles,1.9556,2.0463,1.8137,2.011,195028170.93
2021-05-15,ADA,ADA-USD,2.1935,,380636022.42,coinbase_daily_candles,2.0109,2.49,1.9669,2.1935,380636022.42
2021-05-16,ADA,ADA-USD,2.3101,,323707586.74,coinbase_daily_candles,2.1936,2.47,2.002,2.3101,323707586.74
2021-05-17,ADA,ADA-USD,2.0324,,332519172.61,coinbase_daily_candles,2.3103,2.3317,1.91,2.0324,332519172.61
2021-05-18,ADA,ADA-USD,2.0049,,177523325.9,coinbase_daily_candles,2.033,2.152,1.976,2.0049,177523325.9
2021-05-19,ADA,ADA-USD,1.4919,,708126731.14,coinbase_daily_candles,2.0045,2.031,1.05,1.4919,708126731.14
2021-05-20,ADA,ADA-USD,1.806,,335495873.03,coinbase_daily_candles,1.4927,1.9696,1.3334,1.806,335495873.03
2021-05-21,ADA,ADA-USD,1.5525,,307315756.9,coinbase_daily_candles,1.806,1.874,1.3169,1.5525,307315756.9
2021-05-22,ADA,ADA-USD,1.4652,,155738930.97,coinbase_daily_candles,1.5524,1.601,1.3674,1.4652,155738930.97
2021-05-23,ADA,ADA-USD,1.3178,,362911913.98,coinbase_daily_candles,1.4653,1.54,1.06,1.3178,362911913.98
2021-05-24,ADA,ADA-USD,1.55,,255961229.19,coinbase_daily_candles,1.3178,1.5999,1.2586,1.55,255961229.19
2021-05-25,ADA,ADA-USD,1.5549,,193646460.6,coinbase_daily_candles,1.5499,1.65,1.4373,1.5549,193646460.6
2021-05-26,ADA,ADA-USD,1.7811,,224330520.17,coinbase_daily_candles,1.5547,1.8332,1.554,1.7811,224330520.17
2021-05-27,ADA,ADA-USD,1.6567,,128226844.71,coinbase_daily_candles,1.7822,1.79,1.61,1.6567,128226844.71
2021-05-28,ADA,ADA-USD,1.5141,,196815551.17,coinbase_daily_candles,1.6565,1.68,1.4501,1.5141,196815551.17
2021-05-29,ADA,ADA-USD,1.4051,,156390351.21,coinbase_daily_candles,1.5133,1.5615,1.3358,1.4051,156390351.21
2021-05-30,ADA,ADA-USD,1.5769,,165291552.44,coinbase_daily_candles,1.4043,1.7,1.3468,1.5769,165291552.44
2021-05-31,ADA,ADA-USD,1.7391,,142200899.37,coinbase_daily_candles,1.5769,1.75,1.526,1.7391,142200899.37
2021-06-01,ADA,ADA-USD,1.7349,,108468694.75,coinbase_daily_candles,1.7383,1.78,1.6541,1.7349,108468694.75
2021-06-02,ADA,ADA-USD,1.7542,,99433219.87,coinbase_daily_candles,1.7349,1.805,1.7184,1.7542,99433219.87
2021-06-03,ADA,ADA-USD,1.8456,,80171317.73,coinbase_daily_candles,1.7538,1.889,1.711,1.8456,80171317.73
2021-06-04,ADA,ADA-USD,1.7085,,130381989.09,coinbase_daily_candles,1.8459,1.8483,1.6083,1.7085,130381989.09
2021-06-05,ADA,ADA-USD,1.657,,74308251.02,coinbase_daily_candles,1.7087,1.7833,1.6003,1.657,74308251.02
2021-06-06,ADA,ADA-USD,1.6778,,35246659.42,coinbase_daily_candles,1.6562,1.708,1.6465,1.6778,35246659.42
2021-06-07,ADA,ADA-USD,1.5665,,73337180.02,coinbase_daily_candles,1.6778,1.7436,1.5501,1.5665,73337180.02
2021-06-08,ADA,ADA-USD,1.5842,,152186768.64,coinbase_daily_candles,1.5665,1.5973,1.4,1.5842,152186768.64
2021-06-09,ADA,ADA-USD,1.6279,,94447813.98,coinbase_daily_candles,1.5837,1.6349,1.4832,1.6279,94447813.98
2021-06-10,ADA,ADA-USD,1.5321,,56041433.06,coinbase_daily_candles,1.6281,1.6396,1.5074,1.5321,56041433.06
2021-06-11,ADA,ADA-USD,1.4378,,63235405.02,coinbase_daily_candles,1.5328,1.5479,1.42,1.4378,63235405.02
2021-06-12,ADA,ADA-USD,1.4781,,66739516.18,coinbase_daily_candles,1.4377,1.4941,1.3574,1.4781,66739516.18
2021-06-13,ADA,ADA-USD,1.5573,,56488386.02,coinbase_daily_candles,1.4781,1.582,1.4015,1.5573,56488386.02
2021-06-14,ADA,ADA-USD,1.5772,,58934752.29,coinbase_daily_candles,1.5568,1.5958,1.506,1.5772,58934752.29
2021-06-15,ADA,ADA-USD,1.5545,,43268476.61,coinbase_daily_candles,1.5772,1.6127,1.541,1.5545,43268476.61
2021-06-16,ADA,ADA-USD,1.485,,42216624.64,coinbase_daily_candles,1.5553,1.5747,1.4741,1.485,42216624.64
2021-06-17,ADA,ADA-USD,1.4824,,38147376.84,coinbase_daily_candles,1.485,1.5389,1.4562,1.4824,38147376.84
2021-06-18,ADA,ADA-USD,1.4169,,56431542.0,coinbase_daily_candles,1.4824,1.492,1.3751,1.4169,56431542.0
2021-06-19,ADA,ADA-USD,1.3844,,27690555.42,coinbase_daily_candles,1.4169,1.4422,1.3843,1.3844,27690555.42
2021-06-20,ADA,ADA-USD,1.4252,,52741515.38,coinbase_daily_candles,1.3848,1.4593,1.3062,1.4252,52741515.38
2021-06-21,ADA,ADA-USD,1.1734,,136822914.75,coinbase_daily_candles,1.4255,1.4364,1.162,1.1734,136822914.75
2021-06-22,ADA,ADA-USD,1.1586,,256337195.12,coinbase_daily_candles,1.1742,1.2678,1.0009,1.1586,256337195.12
2021-06-23,ADA,ADA-USD,1.2508,,98816704.27,coinbase_daily_candles,1.1584,1.31,1.1088,1.2508,98816704.27
2021-06-24,ADA,ADA-USD,1.3602,,81898737.2,coinbase_daily_candles,1.2513,1.3998,1.201,1.3602,81898737.2
