date,low,high,open,coinbase_close,coinbase_volume
2021-01-01,332.0,355.84,342.55,342.72,45970.52299785
2021-01-02,334.15,368.97,342.56,354.53,86995.24590346
2021-01-03,354.48,434.95,354.72,424.27,212418.06389755
2021-01-04,378.89,467.76,424.33,405.59,164047.17843106
2021-01-05,389.72,426.14,405.91,419.7,95110.91175342
2021-01-06,411.46,459.0,419.86,454.24,106084.98848917
2021-01-07,427.28,484.18,454.8,448.75,142798.85312883
2021-01-08,402.0,455.63,448.95,437.37,93507.96295658
2021-01-09,418.18,654.32,437.25,577.79,289479.29614261
2021-01-10,550.0,632.64,577.78,600.21,415719.60992654
2021-01-11,397.46,603.38,600.21,478.37,447891.8902595
2021-01-12,443.12,512.44,478.17,451.82,172152.73651821
2021-01-13,433.83,501.0,451.92,496.39,146304.6449443
2021-01-14,481.45,538.89,495.86,526.68,126133.37852909
2021-01-15,452.62,535.0,526.71,491.47,122795.36929696
2021-01-16,473.87,515.12,491.61,489.65,93847.79247922
2021-01-17,461.44,495.13,489.78,479.61,63199.77536512
2021-01-18,468.0,514.0,479.57,508.46,84002.19480882
2021-01-19,502.44,554.74,508.45,508.16,121567.4677295
2021-01-20,471.2,518.48,507.92,497.64,75321.39050207
2021-01-21,404.35,499.93,497.64,418.46,106433.45040223
2021-01-22,391.0,452.55,418.29,439.69,110386.74824813
2021-01-23,419.25,444.62,439.72,431.58,60341.79864175
2021-01-24,421.64,449.0,431.73,439.87,44438.77827314
2021-01-25,429.81,465.8,439.88,432.26,86911.3444891
2021-01-26,413.54,440.63,432.13,427.87,54866.62029175
2021-01-27,369.92,428.39,427.89,378.23,77431.64535495
2021-01-28,371.23,415.69,378.44,405.97,86394.69706132
2021-01-29,391.75,439.79,405.96,407.64,142005.24443104
2021-01-30,392.0,419.73,407.76,417.76,60047.33548659
2021-01-31,391.2,417.68,417.68,400.14,54406.95869503
2021-02-01,390.01,444.64,399.94,414.39,93222.24028441
2021-02-02,411.02,435.16,414.59,430.46,76292.99236503
2021-02-03,428.7,450.47,430.62,447.31,74807.37387661
2021-02-04,412.96,455.9,447.17,421.6,92326.79010837
2021-02-05,417.84,449.0,421.6,448.0,87172.5278414
2021-02-06,446.25,490.61,447.99,458.66,183829.99760323
2021-02-07,430.0,464.94,459.03,445.56,95176.00917736
2021-02-08,437.03,488.85,445.61,484.79,102877.88383984
2021-02-09,473.31,520.0,484.8,515.74,144363.39315742
2021-02-10,469.26,539.68,515.6,495.06,163789.46103338
2021-02-11,490.71,542.31,495.06,530.41,128771.28548889
2021-02-12,510.19,581.25,530.39,577.48,135994.75445629
2021-02-13,542.03,671.96,577.45,669.29,230977.89880507
2021-02-14,650.0,754.22,668.8,722.73,284929.89540937
2021-02-15,600.0,773.89,722.57,716.08,310876.99844031
2021-02-16,669.49,744.89,716.0,706.08,138665.27666866
2021-02-17,675.54,728.0,705.32,717.31,109594.07609682
2021-02-18,689.71,730.0,717.18,703.56,78910.49176879
2021-02-19,680.0,743.0,704.15,719.76,95604.75015374
2021-02-20,630.01,748.93,720.04,680.0,129327.86937687
2021-02-21,667.01,736.54,680.0,707.23,84900.99726577
2021-02-22,530.16,711.35,707.38,629.44,153115.29865925
2021-02-23,445.0,634.74,628.99,516.48,244703.62283097
2021-02-24,495.26,578.04,516.48,527.74,136412.12290565
2021-02-25,493.89,558.44,527.84,500.29,88704.36275812
2021-02-26,456.05,508.97,499.9,484.82,89988.47139185
2021-02-27,473.98,502.0,484.76,484.22,49999.4092521
2021-02-28,432.0,485.99,484.16,461.23,78353.53039828
2021-03-01,458.3,507.12,460.81,501.5,62316.73853365
2021-03-02,494.63,550.0,501.79,517.87,95710.39776257
2021-03-03,511.5,556.0,517.76,521.17,63431.41865251
2021-03-04,492.64,538.87,521.18,505.03,57103.58700511
2021-03-05,472.78,507.62,505.18,497.4,58205.35782918
2021-03-06,482.38,505.28,497.33,500.59,27624.56490844
