date,low,high,open,coinbase_close,coinbase_volume
2021-01-01,11.08824,12.47666,11.24796,11.88126,3238494.13
2021-01-02,11.46666,12.45457,11.88126,12.23513,3960880.09
2021-01-03,11.83,14.03648,12.23427,13.70702,6836216.01
2021-01-04,12.3511,15.71713,13.72075,13.60876,10599370.14
2021-01-05,13.11426,14.94477,13.60098,14.56596,7178985.48
2021-01-06,14.15591,17.35557,14.56674,17.27249,10648089.91
2021-01-07,15.1,17.45,17.28044,15.99469,7765830.68
2021-01-08,14.05867,16.20612,15.99,15.24595,6764785.41
2021-01-09,15.0301,17.95897,15.26852,17.62978,5363151.37
2021-01-10,15.36001,18.5,17.62977,16.21958,6977888.64
2021-01-11,12.5,16.25594,16.21124,14.66602,12131490.59
2021-01-12,13.63107,15.4875,14.66216,13.95404,6747611.01
2021-01-13,13.267,16.23696,13.95625,15.94516,5519061.76
2021-01-14,15.33229,17.97272,15.96946,17.97239,5658122.06
2021-01-15,17.51331,21.4,17.9642,20.76328,17067351.08
2021-01-16,19.58,22.95833,20.75,20.12,11087036.27
2021-01-17,19.4,23.73,20.12977,23.26742,8620961.63
2021-01-18,21.11,23.69079,23.27016,22.03632,5091623.3
2021-01-19,20.32555,22.96573,22.02204,20.5531,5114683.91
2021-01-20,19.06001,21.98,20.55213,21.8575,5372167.17
2021-01-21,18.02953,22.03823,21.85267,18.41354,6167701.64
2021-01-22,17.10429,22.47757,18.39637,21.56518,7633736.88
2021-01-23,21.12108,25.511,21.573,24.83174,7366576.11
2021-01-24,23.15,24.94998,24.83174,24.83438,4264800.01
2021-01-25,22.572,25.83917,24.83438,23.3881,4689609.65
2021-01-26,21.64546,23.99999,23.36844,23.13576,3816380.2
2021-01-27,20.26,23.25039,23.13047,20.9969,3890903.37
2021-01-28,20.52438,24.49422,21.00021,23.07837,4913477.52
2021-01-29,22.07007,24.30653,23.08342,22.77436,4402177.42
2021-01-30,22.2144,23.98,22.75701,23.68064,2576628.24
2021-01-31,22.05,24.7,23.68956,22.57316,3129757.99
2021-02-01,21.65412,23.23,22.56886,22.89959,2733898.93
2021-02-02,22.75858,24.18247,22.8787,23.67457,2576775.33
2021-02-03,23.56009,25.58,23.67499,25.1273,3234024.23
2021-02-04,22.82,26.19544,25.13208,24.52854,4301624.23
2021-02-05,24.44865,27.0,24.51668,26.3425,5079593.09
2021-02-06,24.24381,26.82198,26.34659,25.08035,3626759.7
2021-02-07,22.90174,25.31274,25.07714,24.75,2691248.99
2021-02-08,24.00015,26.0,24.75772,25.46183,2724664.23
2021-02-09,25.01518,28.02985,25.46771,27.65837,4005402.22
2021-02-10,25.25,28.64831,27.6638,26.84211,4448569.73
