date,low,high,open,coinbase_close,coinbase_volume
2021-01-01,123.19,134.22,124.42,126.53,495005.89206941
2021-01-02,123.8,142.21,126.53,137.13,999028.21705459
2021-01-03,135.5,164.98,137.1,161.52,1359302.40338031
2021-01-04,140.0,174.5,161.44,155.43,1288609.45497657
2021-01-05,146.62,163.36,155.48,159.03,864792.96091525
2021-01-06,155.37,169.9,159.01,169.41,861475.91623074
2021-01-07,162.0,181.25,169.45,169.75,1139850.35207682
2021-01-08,150.2,181.55,169.75,172.46,1248036.47869796
2021-01-09,163.58,179.42,172.46,177.87,719159.33210206
2021-01-10,160.62,186.34,177.9,170.21,1050079.22012166
2021-01-11,111.04,170.72,170.22,139.43,2538624.92406998
2021-01-12,128.0,146.88,139.35,133.39,1151437.30124188
2021-01-13,125.7,148.5,133.36,147.51,868082.62399309
2021-01-14,143.4,156.87,147.55,152.38,743175.0059382
2021-01-15,130.29,155.3,152.38,143.63,734295.41062156
2021-01-16,139.26,152.68,143.75,143.5,644616.17729527
2021-01-17,136.29,147.0,143.58,142.8,456112.44761885
2021-01-18,138.27,155.0,142.76,151.88,610752.27496003
2021-01-19,150.17,166.21,151.81,151.9,728847.58791126
2021-01-20,138.53,156.3,151.89,149.77,498760.05422524
2021-01-21,125.4,150.35,149.82,129.75,612256.64841475
2021-01-22,122.25,142.0,129.65,137.76,662088.44705923
2021-01-23,135.0,143.54,137.75,137.76,262547.92820686
2021-01-24,133.86,142.63,137.78,141.13,269997.41948133
2021-01-25,136.62,147.69,141.17,137.13,446787.17499634
2021-01-26,128.41,139.79,137.06,134.79,307362.49449081
2021-01-27,118.0,135.13,134.88,122.63,440010.40071072
2021-01-28,120.91,136.29,122.7,133.61,421567.72581511
2021-01-29,131.6,145.88,133.73,134.91,797262.34427069
2021-01-30,128.11,136.34,134.88,133.61,362512.92526212
2021-01-31,125.7,135.21,133.53,129.58,313954.46855087
2021-02-01,126.02,136.62,129.61,132.04,371025.50589096
2021-02-02,131.84,145.95,131.95,142.05,581092.08902155
2021-02-03,142.12,156.86,142.12,156.2,648677.39893866
2021-02-04,141.16,158.99,156.31,145.27,572190.38967315
2021-02-05,143.63,156.99,145.25,155.15,503058.75070061
2021-02-06,150.0,164.23,155.18,155.77,769217.22204908
2021-02-07,145.33,157.49,155.98,150.95,361309.14627921
2021-02-08,147.98,169.48,151.03,167.63,629544.3633159
2021-02-09,164.23,184.71,167.6,181.92,796456.09275364
2021-02-10,170.14,195.15,181.79,181.76,1085843.2024783
2021-02-11,175.79,193.65,181.73,183.8,678199.39210037
2021-02-12,176.89,199.99,183.71,197.2,772016.44510585
2021-02-13,192.0,229.52,197.2,226.62,1202918.03168112
2021-02-14,208.57,230.81,226.47,213.93,799636.00954237
2021-02-15,185.72,220.0,213.92,207.9,1027910.48458824
2021-02-16,200.18,221.95,208.1,210.17,688621.78091316
2021-02-17,203.52,237.59,210.17,237.54,833225.99715476
2021-02-18,220.7,239.11,237.52,226.65,568397.6040669
2021-02-19,220.1,241.99,226.69,236.69,642219.21560272
2021-02-20,216.08,247.0,236.68,227.17,795382.57879507
2021-02-21,220.25,233.95,227.04,227.54,498527.84605352
2021-02-22,178.0,227.72,227.57,208.23,1049019.69166626
2021-02-23,158.7,208.94,208.21,177.59,1553179.6704936
2021-02-24,168.89,189.69,177.5,181.7,736673.54631742
2021-02-25,175.21,205.2,181.59,179.47,760450.52816885
2021-02-26,162.23,182.9,179.4,170.3,713714.85098742
2021-02-27,167.23,180.48,170.27,172.01,352424.12669885
2021-02-28,153.07,173.17,171.97,165.72,574638.18435029
2021-03-01,163.54,176.82,165.58,176.01,389607.68234476
2021-03-02,170.7,185.48,176.08,179.25,457461.62814149
2021-03-03,177.15,196.71,179.27,187.61,530384.72101456
2021-03-04,177.0,194.5,187.62,180.59,411057.79016485
2021-03-05,168.58,183.53,180.59,180.3,389728.18658471
2021-03-06,174.73,184.71,180.36,182.85,270562.07972635
2021-03-07,182.33,192.14,182.88,190.74,254357.25458686
2021-03-08,180.0,195.22,190.83,191.9,357924.79201714
2021-03-09,189.01,205.2,191.91,203.98,421286.15194981
2021-03-10,191.23,208.0,204.02,200.23,496207.79764155
2021-03-11,191.08,203.45,200.32,201.47,314111.95609458
2021-03-12,198.67,224.33,201.47,220.84,723757.46809265
2021-03-13,212.7,230.0,220.83,226.09,456109.6540551
2021-03-14,214.0,227.94,226.1,214.11,256868.50842203
2021-03-15,197.65,222.44,214.02,200.82,492339.6096627
2021-03-16,191.18,205.27,200.65,201.64,370460.24272988
2021-03-17,194.25,206.88,201.67,206.04,296116.99073548
2021-03-18,198.87,208.23,206.1,199.65,321741.42992324
2021-03-19,195.8,204.95,199.74,199.91,221288.73600127
2021-03-20,198.73,206.0,199.88,200.16,179205.14625003
2021-03-21,192.37,201.95,200.16,195.53,191875.82871953
2021-03-22,185.0,199.17,195.62,185.7,264425.42582445
2021-03-23,180.71,189.51,185.73,185.85,247751.81033009
2021-03-24,172.25,197.0,185.85,175.95,348394.18554257
2021-03-25,167.78,178.24,175.95,171.48,334710.9219652
2021-03-26,171.47,183.93,171.52,183.7,228873.49471838
2021-03-27,177.75,186.24,183.71,184.14,173064.49588676
2021-03-28,180.0,187.3,184.11,184.27,154052.46599189
2021-03-29,182.28,197.54,184.24,193.66,325949.98694959
2021-03-30,190.18,200.08,193.68,195.73,247251.94168221
2021-03-31,187.15,199.0,195.74,196.88,252062.78070165
2021-04-01,194.14,204.95,196.9,202.67,286667.40876187
2021-04-02,200.79,213.56,202.74,211.5,321181.76232722
2021-04-03,195.05,217.88,211.4,195.34,317823.08064585
2021-04-04,191.9,204.74,195.26,202.26,218315.0523257
2021-04-05,198.11,225.0,202.26,221.44,550829.18683667
2021-04-06,213.0,244.54,221.42,237.09,828949.44919589
2021-04-07,211.0,242.96,237.23,219.33,763530.35248426
2021-04-08,217.0,228.0,219.2,226.24,291594.18292009
2021-04-09,218.84,228.96,226.17,221.07,235532.76037331
2021-04-10,219.02,256.63,221.12,255.94,544874.50286414
2021-04-11,244.48,262.98,256.25,252.44,481409.6304081
2021-04-12,240.14,258.69,252.31,244.35,361404.35449923
2021-04-13,244.33,273.3,244.4,267.77,577987.13293251
2021-04-14,255.0,283.2,267.77,278.85,686386.0861287
2021-04-15,266.01,291.25,278.75,286.18,518631.79087024
2021-04-16,266.21,319.94,286.18,308.75,1184360.59920071
2021-04-17,297.41,335.35,308.86,301.1,876013.94396398
