,monthly_return
2021-08-31,0.012860433211128619
2021-09-30,-0.006895360303570963
2021-10-31,0.2064306636626445
2021-11-30,0.042080154353779875
2021-12-31,-0.17367872278672813
2022-01-31,0.0
2022-02-28,0.0
2022-03-31,0.0
2022-04-30,0.0
2022-05-31,0.0
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,0.0
2022-09-30,0.0
2022-10-31,-0.0008000000000000229
2022-11-30,-0.05390451700954679
2022-12-31,-0.07557484906176648
2023-01-31,0.050813381141610714
2023-02-28,-0.003968692721913802
2023-03-31,0.11055657199035873
2023-04-30,0.0033904477895148055
2023-05-31,-0.028193093765412014
2023-06-30,-0.01222659280658267
2023-07-31,-0.08938328951084828
2023-08-31,0.025584114508635514
2023-09-30,0.0
2023-10-31,0.16110235486452096
2023-11-30,0.28252669066676384
2023-12-31,0.5180603772684778
2024-01-31,-0.12922449349729137
2024-02-29,0.2937489947973819
2024-03-31,0.2509024412346712
2024-04-30,-0.36482004349887776
2024-05-31,0.03756852642196162
2024-06-30,-0.08701732113037297
2024-07-31,-0.016022265823766757
2024-08-31,-0.024020946328818904
2024-09-30,-0.024284312920539897
2024-10-31,0.01812902785626025
2024-11-30,1.2547794237424905
2024-12-31,-0.13411179716871346
2025-01-31,0.2459659434647825
2025-02-28,-0.14925837524610586
2025-03-31,-0.0925979404957673
2025-04-30,-0.02355979572689504
2025-05-31,-0.030592336108339557
2025-06-30,-0.011364331675737693
2025-07-31,0.1915942337494143
2025-08-31,0.04099800382131247
2025-09-30,-0.057191071117821624
2025-10-31,-0.12704494376262332
2025-11-30,-0.011673737743795654
2025-12-31,0.0
2026-01-31,0.0
2026-02-28,0.0
2026-03-31,0.0
2026-04-30,0.0
2026-05-31,0.0
2026-06-30,0.0
