year,month,return
2007,2,0.007269620030601054
2007,3,0.004506703659565403
2007,4,0.003055269160036511
2007,5,-0.0006738332178274353
2007,6,0.004751078300681888
2007,7,0.009040940060203395
2007,8,0.010487846678983503
2007,9,0.005520258647689014
2007,10,0.004779413808298161
2007,11,0.017927414104749628
2007,12,0.0029972068131423057
2008,1,0.016546798255977935
2008,2,0.010332745023449164
2008,3,0.002534482330998511
2008,4,-0.008374131142459329
2008,5,-0.003461775838790704
2008,6,0.002454896344808777
2008,7,0.004342059339381477
2008,8,0.0046643547446023614
2008,9,0.007779627625492891
2008,10,0.011046171699489182
2008,11,0.011052761551199719
2008,12,0.005630267067613159
2009,1,-0.004369390040113497
2009,2,-0.0014506519602809353
2009,3,0.0049932949565763
2009,4,-0.00165004288217252
2009,5,0.0005602927857739637
2009,6,-0.0009434429369774566
2009,7,0.0011007464806873646
2009,8,0.004091398081013553
2009,9,0.0023633158734377435
2009,10,0.001358760903082068
2009,11,0.005964048720352277
2009,12,-0.008407221183103997
2010,1,0.00795556580524659
2010,2,0.0016042412025734087
2010,3,-0.0026915926301882553
2010,4,0.0030013249164888567
2010,5,0.003725531643915758
2010,6,-0.021937776281175214
2010,7,0.058363149637707945
2010,8,0.0078421036346914
2010,9,0.03635346891973823
2010,10,0.013431321796467222
2010,11,-0.010376344062795861
2010,12,0.052923850662244254
2011,1,0.016124497688278394
2011,2,0.031759980808606425
2011,3,0.007406047796331139
2011,4,0.03279806841855004
2011,5,-0.017794174937445395
2011,6,-0.02133964651964504
2011,7,0.024787005245877403
2011,8,0.03787517788429162
2011,9,0.009295922392395628
2011,10,0.011153412463896784
2011,11,0.003953928366360326
2011,12,0.01009001320607772
2012,1,0.034910561257410766
2012,2,0.02726516494840081
2012,3,0.0038074206301010882
2012,4,-0.0053173632918450675
2012,5,-0.06322976612635256
2012,6,0.03237423312344112
2012,7,0.02571872977432932
2012,8,0.014937831825620362
2012,9,-0.0027589428674339445
2012,10,-0.010529187386386862
2012,11,0.00931518403616649
2012,12,0.004847517785151245
2013,1,0.026404418542232966
2013,2,-0.006881140367519745
2013,3,0.019446251254608526
2013,4,0.01260131932692321
2013,5,-0.007811407123476943
2013,6,-0.01997194776202571
2013,7,0.04012658523126822
2013,8,-0.010258293202701219
2013,9,0.01803964843973005
2013,10,0.02251797924000898
2013,11,0.011413980412933844
2013,12,0.011985981150511194
2014,1,-0.018060312950952784
2014,2,0.03928442475072513
2014,3,0.0019807491006500477
2014,4,0.011192594365145858
2014,5,0.014010468306534296
2014,6,0.018161879334545494
2014,7,-0.01988544367448264
2014,8,0.02421404579457409
2014,9,-0.0276442909708301
2014,10,0.005929778112541362
2014,11,-0.007382596370755001
2014,12,-0.022998469589481152
2015,1,0.009802686106634484
2015,2,-0.01019549659508312
2015,3,-0.008210929243711917
2015,4,0.0021995507009471282
2015,5,-0.012795294059407047
2015,6,-0.015710830785004903
2015,7,-0.005413155501986289
2015,8,-0.007997202486183852
2015,9,8.505310641648833e-05
2015,10,0.008057435449102313
2015,11,-0.020047681219255375
2015,12,-0.014230265522852115
