observation_date,USALOLITONOSTSAM
2000-01-01,101.22350
2000-02-01,101.16580
2000-03-01,101.08020
2000-04-01,100.97460
2000-05-01,100.84420
2000-06-01,100.69700
2000-07-01,100.53360
2000-08-01,100.34110
2000-09-01,100.11680
2000-10-01,99.84575
2000-11-01,99.53703
2000-12-01,99.20428
2001-01-01,98.90028
2001-02-01,98.66687
2001-03-01,98.51558
2001-04-01,98.43899
2001-05-01,98.41459
2001-06-01,98.39322
2001-07-01,98.35278
2001-08-01,98.29589
2001-09-01,98.25891
2001-10-01,98.30439
2001-11-01,98.45556
2001-12-01,98.69349
2002-01-01,98.96920
2002-02-01,99.23076
2002-03-01,99.42764
2002-04-01,99.50980
2002-05-01,99.45938
2002-06-01,99.28414
2002-07-01,99.03129
2002-08-01,98.76104
2002-09-01,98.51003
2002-10-01,98.31223
2002-11-01,98.18129
2002-12-01,98.09320
2003-01-01,98.02883
2003-02-01,97.99784
2003-03-01,98.02911
2003-04-01,98.14710
2003-05-01,98.34695
2003-06-01,98.60476
2003-07-01,98.90762
2003-08-01,99.24580
2003-09-01,99.60869
2003-10-01,99.97696
2003-11-01,100.32070
2003-12-01,100.60970
2004-01-01,100.82810
2004-02-01,100.95900
2004-03-01,101.01710
2004-04-01,101.01550
2004-05-01,100.97380
2004-06-01,100.90100
2004-07-01,100.80320
2004-08-01,100.69500
2004-09-01,100.60080
2004-10-01,100.53700
2004-11-01,100.51130
2004-12-01,100.49950
2005-01-01,100.46920
2005-02-01,100.41420
2005-03-01,100.34460
2005-04-01,100.29310
2005-05-01,100.28270
2005-06-01,100.31130
2005-07-01,100.35670
2005-08-01,100.42180
2005-09-01,100.51870
2005-10-01,100.65680
2005-11-01,100.82250
2005-12-01,100.97990
2006-01-01,101.10100
2006-02-01,101.17720
2006-03-01,101.20340
2006-04-01,101.17680
2006-05-01,101.11950
2006-06-01,101.06720
2006-07-01,101.03720
2006-08-01,101.04870
2006-09-01,101.10750
2006-10-01,101.19490
2006-11-01,101.29880
2006-12-01,101.41000
2007-01-01,101.51790
2007-02-01,101.62320
2007-03-01,101.73190
2007-04-01,101.83510
2007-05-01,101.91350
2007-06-01,101.95420
2007-07-01,101.94270
2007-08-01,101.87600
2007-09-01,101.77900
2007-10-01,101.67020
2007-11-01,101.55450
2007-12-01,101.44260
2008-01-01,101.32580
2008-02-01,101.19310
2008-03-01,101.04660
2008-04-01,100.86420
2008-05-01,100.61570
2008-06-01,100.26650
2008-07-01,99.78567
